Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.3809,3.2322,0.14171,2.002,2.273,2.44,2.532,2.678,2.779,2.932,3.232,3.55,3.729,3.853,4.041,4.166,4.409,4.846
1,0.3259,3.1957,0.14578,1.963,2.231,2.398,2.49,2.635,2.737,2.892,3.196,3.52,3.704,3.831,4.026,4.155,4.408,4.865
2,0.3101,3.2104,0.14637,1.972,2.24,2.408,2.5,2.646,2.748,2.904,3.21,3.538,3.723,3.853,4.049,4.181,4.438,4.902
3,0.2986,3.2315,0.14657,1.986,2.255,2.424,2.516,2.663,2.766,2.923,3.232,3.562,3.749,3.879,4.079,4.212,4.471,4.942
4,0.2891,3.2558,0.14658,2.004,2.274,2.443,2.536,2.684,2.787,2.945,3.256,3.589,3.778,3.909,4.11,4.245,4.507,4.983
5,0.281,3.2821,0.14646,2.023,2.294,2.464,2.558,2.707,2.81,2.969,3.282,3.618,3.808,3.941,4.144,4.279,4.544,5.026
6,0.2737,3.3099,0.14626,2.043,2.316,2.487,2.581,2.731,2.835,2.995,3.31,3.648,3.84,3.974,4.178,4.315,4.583,5.069
7,0.2671,3.3388,0.146,2.064,2.339,2.51,2.605,2.756,2.861,3.022,3.339,3.68,3.873,4.008,4.214,4.352,4.622,5.112
8,0.2609,3.3687,0.14569,2.087,2.362,2.535,2.63,2.782,2.888,3.05,3.369,3.712,3.906,4.042,4.25,4.389,4.661,5.156
9,0.2551,3.3995,0.14534,2.11,2.387,2.561,2.656,2.809,2.915,3.078,3.4,3.745,3.941,4.078,4.287,4.428,4.702,5.201
10,0.2497,3.4314,0.14498,2.134,2.412,2.587,2.683,2.837,2.944,3.108,3.431,3.779,3.977,4.115,4.326,4.467,4.744,5.247
11,0.2446,3.4643,0.14459,2.158,2.439,2.615,2.711,2.866,2.974,3.139,3.464,3.815,4.014,4.153,4.365,4.508,4.786,5.294
12,0.2397,3.4983,0.1442,2.184,2.466,2.643,2.74,2.896,3.004,3.17,3.498,3.851,4.052,4.192,4.406,4.55,4.83,5.342
13,0.2349,3.5333,0.1438,2.21,2.494,2.672,2.77,2.927,3.036,3.203,3.533,3.889,4.091,4.232,4.448,4.593,4.876,5.392
14,0.2304,3.5693,0.14339,2.237,2.523,2.702,2.801,2.958,3.068,3.237,3.569,3.928,4.131,4.273,4.491,4.637,4.922,5.443
15,0.226,3.6063,0.14299,2.264,2.552,2.733,2.832,2.991,3.102,3.271,3.606,3.967,4.172,4.316,4.535,4.682,4.97,5.495
16,0.2218,3.6438,0.14258,2.292,2.582,2.764,2.864,3.024,3.135,3.306,3.644,4.008,4.214,4.359,4.58,4.728,5.018,5.548
17,0.2177,3.6818,0.14218,2.32,2.612,2.795,2.896,3.057,3.17,3.342,3.682,4.048,4.257,4.402,4.625,4.775,5.067,5.601
18,0.2137,3.7201,0.14177,2.348,2.643,2.827,2.929,3.091,3.204,3.378,3.72,4.089,4.299,4.446,4.671,4.821,5.116,5.655
19,0.2099,3.7584,0.14138,2.377,2.673,2.859,2.961,3.124,3.239,3.413,3.758,4.131,4.342,4.49,4.716,4.868,5.166,5.709
20,0.2061,3.7968,0.14098,2.405,2.704,2.891,2.994,3.158,3.273,3.449,3.797,4.172,4.385,4.534,4.762,4.915,5.215,5.762
21,0.2024,3.8352,0.1406,2.434,2.734,2.923,3.026,3.192,3.308,3.485,3.835,4.213,4.428,4.578,4.808,4.962,5.264,5.816
22,0.1989,3.8735,0.14021,2.462,2.765,2.954,3.059,3.226,3.342,3.521,3.874,4.254,4.47,4.621,4.853,5.009,5.313,5.87
23,0.1954,3.9116,0.13984,2.49,2.795,2.986,3.091,3.259,3.377,3.556,3.912,4.295,4.513,4.665,4.899,5.055,5.362,5.923
24,0.1919,3.9495,0.13947,2.519,2.825,3.018,3.124,3.293,3.411,3.592,3.95,4.335,4.555,4.708,4.944,5.101,5.411,5.976
25,0.1886,3.9872,0.1391,2.547,2.855,3.049,3.156,3.326,3.445,3.627,3.987,4.376,4.597,4.751,4.988,5.147,5.459,6.028
26,0.1853,4.0247,0.13875,2.575,2.885,3.08,3.188,3.359,3.479,3.662,4.025,4.416,4.638,4.794,5.033,5.193,5.507,6.08
27,0.1821,4.0618,0.1384,2.602,2.915,3.111,3.219,3.392,3.512,3.697,4.062,4.456,4.68,4.836,5.077,5.238,5.554,6.132
28,0.1789,4.0987,0.13805,2.63,2.944,3.142,3.251,3.424,3.546,3.731,4.099,4.495,4.721,4.879,5.12,5.283,5.601,6.183
29,0.1758,4.1353,0.13771,2.657,2.974,3.172,3.282,3.457,3.579,3.766,4.135,4.534,4.761,4.92,5.164,5.327,5.648,6.234
30,0.1727,4.1716,0.13738,2.684,3.003,3.203,3.313,3.489,3.612,3.8,4.172,4.573,4.802,4.962,5.207,5.371,5.694,6.284
31,0.1697,4.2075,0.13706,2.711,3.032,3.233,3.343,3.52,3.644,3.833,4.208,4.612,4.842,5.003,5.249,5.415,5.74,6.334
32,0.1668,4.2431,0.13674,2.738,3.06,3.262,3.374,3.552,3.676,3.866,4.243,4.65,4.881,5.043,5.291,5.458,5.785,6.383
33,0.1638,4.2783,0.13643,2.764,3.088,3.292,3.404,3.583,3.708,3.899,4.278,4.687,4.92,5.083,5.333,5.501,5.83,6.432
34,0.161,4.3131,0.13613,2.79,3.116,3.321,3.434,3.614,3.739,3.932,4.313,4.725,4.959,5.123,5.374,5.543,5.874,6.48
